Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Image Src,SEO Title,SEO Description,Status
khapli-atta-500g,Khapli Atta,"<p>Premium Khapli Atta made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Atta,Atta,"Atta,Organic,Farm Fresh",TRUE,Size,500g,KB001,199,100,deny,manual,https://example.com/images/khapli-atta-500g.jpg,Buy Khapli Atta Online | Kishan Bazar,Shop premium Khapli Atta online from Kishan Bazar.,active
khapli-atta-1kg,Khapli Atta,"<p>Premium Khapli Atta made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Atta,Atta,"Atta,Organic,Farm Fresh",TRUE,Size,1kg,KB002,349,100,deny,manual,https://example.com/images/khapli-atta-1kg.jpg,Buy Khapli Atta Online | Kishan Bazar,Shop premium Khapli Atta online from Kishan Bazar.,active
khapli-atta-2kg,Khapli Atta,"<p>Premium Khapli Atta made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Atta,Atta,"Atta,Organic,Farm Fresh",TRUE,Size,2kg,KB003,649,100,deny,manual,https://example.com/images/khapli-atta-2kg.jpg,Buy Khapli Atta Online | Kishan Bazar,Shop premium Khapli Atta online from Kishan Bazar.,active
khapli-atta-5kg,Khapli Atta,"<p>Premium Khapli Atta made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Atta,Atta,"Atta,Organic,Farm Fresh",TRUE,Size,5kg,KB004,1499,100,deny,manual,https://example.com/images/khapli-atta-5kg.jpg,Buy Khapli Atta Online | Kishan Bazar,Shop premium Khapli Atta online from Kishan Bazar.,active
khapli-atta-10kg,Khapli Atta,"<p>Premium Khapli Atta made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Atta,Atta,"Atta,Organic,Farm Fresh",TRUE,Size,10kg,KB005,2799,100,deny,manual,https://example.com/images/khapli-atta-10kg.jpg,Buy Khapli Atta Online | Kishan Bazar,Shop premium Khapli Atta online from Kishan Bazar.,active
multigrain-atta-500g,Multigrain Atta,"<p>Premium Multigrain Atta made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Atta,Atta,"Atta,Organic,Farm Fresh",TRUE,Size,500g,KB006,199,100,deny,manual,https://example.com/images/multigrain-atta-500g.jpg,Buy Multigrain Atta Online | Kishan Bazar,Shop premium Multigrain Atta online from Kishan Bazar.,active
multigrain-atta-1kg,Multigrain Atta,"<p>Premium Multigrain Atta made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Atta,Atta,"Atta,Organic,Farm Fresh",TRUE,Size,1kg,KB007,349,100,deny,manual,https://example.com/images/multigrain-atta-1kg.jpg,Buy Multigrain Atta Online | Kishan Bazar,Shop premium Multigrain Atta online from Kishan Bazar.,active
multigrain-atta-2kg,Multigrain Atta,"<p>Premium Multigrain Atta made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Atta,Atta,"Atta,Organic,Farm Fresh",TRUE,Size,2kg,KB008,649,100,deny,manual,https://example.com/images/multigrain-atta-2kg.jpg,Buy Multigrain Atta Online | Kishan Bazar,Shop premium Multigrain Atta online from Kishan Bazar.,active
multigrain-atta-5kg,Multigrain Atta,"<p>Premium Multigrain Atta made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Atta,Atta,"Atta,Organic,Farm Fresh",TRUE,Size,5kg,KB009,1499,100,deny,manual,https://example.com/images/multigrain-atta-5kg.jpg,Buy Multigrain Atta Online | Kishan Bazar,Shop premium Multigrain Atta online from Kishan Bazar.,active
multigrain-atta-10kg,Multigrain Atta,"<p>Premium Multigrain Atta made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Atta,Atta,"Atta,Organic,Farm Fresh",TRUE,Size,10kg,KB010,2799,100,deny,manual,https://example.com/images/multigrain-atta-10kg.jpg,Buy Multigrain Atta Online | Kishan Bazar,Shop premium Multigrain Atta online from Kishan Bazar.,active
